ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
0,"White Alone",0,"Not Hispanic or Latino",2013,"2013",1236,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",2721187,0.27504848899997886
0,"White Alone",1,"Hispanic or Latino",2013,"2013",20158,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",2556274,0.2583796340236566
1,"Black or African American Alone",0,"Not Hispanic or Latino",2013,"2013",2621,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",803913,0.08125683973113204
1,"Black or African American Alone",1,"Hispanic or Latino",2013,"2013",1964,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",29564,0.002988230330659148
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2013,"2013",895,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",17674,0.0017864288615907788
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2013,"2013",2298,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",34175,0.0034542948028100525
3,"Asian Alone",0,"Not Hispanic or Latino",2013,"2013",2757,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",1356049,0.137064901625626
3,"Asian Alone",1,"Hispanic or Latino",2013,"2013",1301,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",16677,0.0016856554331079222
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2013,"2013",653,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",23829,0.002408555694401192
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2013,"2013",491,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",2303,0.00023277954442930653
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2013,"2013",1701.9999999999998,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",23933,0.0024190676668808483
5,"Some Other Race Alone",1,"Hispanic or Latino",2013,"2013",23161,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",1939425,0.1960305983303551
6,"Two or More Races",0,"Not Hispanic or Latino",2013,"2013",4070.864281697438,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",205404,0.020761549953954527
6,"Two or More Races",1,"Hispanic or Latino",2013,"2013",4609.887308817863,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",163074,0.0164829750014176
